x,y,pred,truth
47.95833333,340.0416667,Fe,Fe
66.4,326.72,Ti,Ti
72.68,312.28,Ti,Ti
126.8,292.36,Ti,Ti
127.5833333,171.4583333,Ti,NA
136.76,202.2,Fe,Fe
144.92,222.16,Fe,Fe
148.3846154,290.8461538,Ti,Ti
155.5384615,274.7692308,Ti,Ti
155.9583333,252.8333333,Fe,Fe
160.5,130.5416667,Fe,Fe
163.4615385,300.0769231,Ti,Ti
172.1538462,338.3461538,Ti,Ti
176.6666667,247.5833333,Fe,Fe
177.24,280.72,Fe,Fe
181.8846154,88.46153846,Ti,Ti
188.7037037,259.5925926,Ti,Ti
189.4583333,343.4166667,Ti,Ti
191.2,152.72,Fe,Fe
194.7777778,114.7777778,Ti,NA
200.0416667,424.9166667,Fe,Fe
200.5416667,340.5416667,Ti,Ti
201.3461538,291.0384615,Ti,Ti
201.4,400.68,Ti,Ti
201.95,56,Fe,NA
203.5384615,96.15384615,Ti,Ti
204.5769231,233.8461538,Ti,Ti
204.84,27.16,Ti,Ti
214.3478261,297.3913043,Fe,Fe
216,85.95833333,Ti,Ti
222,270,Fe,NA
224.9166667,107.9583333,Fe,Fe
225.5,190.4230769,Ti,Ti
227.4166667,213.5833333,Fe,Fe
228,265,Ti,NA
231.1851852,22.18518519,Ti,Ti
233.2083333,333,Fe,Fe
236,268,Ti,NA
243.4074074,204.3333333,Ti,Ti
243.5833333,454.5833333,Fe,Fe
246,238.5,Ti,Ti
249.5833333,292.5833333,Fe,Fe
251.5833333,332.4166667,Fe,Fe
253.3913043,137.7826087,Fe,Fe
254.5714286,267.1904762,Fe,NA
257.6842105,429.6315789,Fe,NA
258.32,392.76,Fe,Fe
259.3846154,45.30769231,Fe,NA
265.7407407,206.2592593,Ti,NA
266.9166667,131,Fe,Fe
271,479,Fe,NA
274.76,447.24,Fe,Fe
276.5,282.5833333,Fe,Fe
280.6153846,72.07692308,Ti,NA
285.1875,393.875,Fe,NA
288.0416667,129.9166667,Fe,Fe
288.8888889,149.2222222,Ti,NA
290.5909091,359.0454545,Fe,NA
291.3043478,370.826087,Ti,NA
294.5769231,116.8846154,Ti,NA
300.0384615,78.53846154,Ti,Ti
301.0384615,435.5,Ti,Ti
304.6538462,262.9230769,Ti,Ti
304.826087,279.7391304,Fe,Fe
312,475,Ti,NA
312.8333333,328.9583333,Fe,Fe
313.5416667,79.33333333,Fe,Fe
315.5384615,168.8846154,Ti,Ti
320,473,Ti,NA
321.8,195.16,Fe,Fe
325.72,117.08,Fe,Fe
326.7083333,325.4583333,Fe,Fe
334.2380952,373.1428571,Fe,NA
336.16,406.68,Ti,Ti
339.5384615,154,Ti,Ti
342.3478261,417.1304348,Ti,Ti
344,116,Ti,NA
344.8,387.16,Fe,Fe
349,110,Ti,NA
356.3043478,274.826087,Ti,NA
359.0384615,246.3846154,Ti,NA
363,199.9583333,Fe,Fe
364.125,267,Ti,NA
371.1153846,431.4615385,Ti,Ti
372.0416667,285.7916667,Fe,Fe
388,227,Ti,NA
390.0416667,347,Fe,Fe
390.6956522,163.6956522,Fe,Fe
395,229,Ti,NA
395.88,287.16,Ti,Ti
399.9583333,373.9166667,Fe,Fe
401.44,168.68,Ti,Ti
402.9615385,261.4615385,Ti,NA
403,227,Ti,NA
412,331,Fe,Fe
419.875,391,Ti,NA
422.25,156.3333333,Fe,Fe
423.16,223.72,Ti,Ti
427.76,383.12,Ti,NA
441.9230769,327.3846154,Ti,NA
443.0833333,232,Fe,Fe
452.0909091,357.5454545,Ti,NA
455.3478261,345.6521739,Fe,NA
460.5,367.0416667,Fe,NA
460.9615385,253.4615385,Ti,Ti
473.5,275.8461538,Ti,Ti
480.5384615,345.4230769,Ti,Ti
491.5,361,Ti,Ti
496,347,Fe,Fe
