x,y,pred,truth
18,254,Ti,NA
28,252,Ti,Fe
38.5,267.9545455,Fe,NA
40.45,243.55,Fe,Fe
42.80952381,232.3333333,Fe,Fe
46,213.3181818,Fe,Fe
63.5,230.2916667,Fe,Fe
66.08333333,210,Ti,Ti
66.25806452,278.8387097,Ti,NA
73,247.9166667,Ti,Ti
74.23809524,190.5714286,Fe,Fe
78.19047619,203.4285714,Fe,Fe
78.90909091,269.2727273,Fe,Fe
84.17391304,252.1304348,Ti,Ti
85.30434783,193.6086957,Ti,Ti
93,178.4545455,Fe,Fe
106.1904762,209.8095238,Fe,Fe
107,114.3461538,Ti,Ti
108.5384615,239.8846154,Ti,Ti
110.0454545,256.5,Fe,Fe
110.5,132.0454545,Fe,Fe
115.84,305.4,Ti,Ti
116.5,218.7142857,Fe,NA
116.5,197,Fe,Fe
120.3043478,115.4347826,Ti,Ti
120.7142857,97.95238095,Fe,Fe
124,227,Ti,Fe
124,148,Ti,NA
126,148,Ti,Ti
128.24,270.92,Ti,Ti
130.875,310,Ti,Ti
132,185.4545455,Fe,Fe
137.8888889,155.2777778,Fe,Fe
138.4583333,46.16666667,Ti,NA
138.6470588,146.5882353,Fe,Fe
139.0454545,255.2272727,Fe,Fe
139.125,106.9166667,Fe,Fe
141.6956522,58.60869565,Ti,NA
142.8,123.2,Ti,Ti
145.2608696,67.60869565,Ti,NA
145.36,327.8,Ti,Ti
145.4583333,179.5833333,Ti,Ti
150.5,217.9090909,Fe,Fe
151.7894737,159.8421053,Fe,Fe
152.2380952,148.6190476,Fe,Fe
158,190,Ti,Ti
158,87,Ti,NA
163.7391304,156.826087,Ti,Ti
164,183,Ti,Ti
164,92,Ti,NA
166.5,232.8846154,Ti,Ti
166.5,174.25,Fe,Fe
168.4615385,250.9615385,Ti,Ti
168.875,200.75,Ti,Ti
175,164.5909091,Fe,Fe
178.5,68.66666667,Ti,Ti
180.1428571,195.3333333,Fe,Fe
180.88,269.12,Ti,Ti
183,313,Ti,Ti
188,318,Fe,Ti
191,99,Ti,NA
191.24,55.12,Ti,Ti
194.0833333,78.125,Ti,Ti
195.68,280.24,Ti,Ti
199,220,Fe,Fe
200,235,Fe,Fe
205.3043478,366.7391304,Fe,Fe
209.9545455,344.5,Fe,Fe
210,143.3461538,Ti,Ti
210,240,Ti,Ti
211.875,281.7916667,Ti,Ti
212,84,Ti,Ti
215,77,Ti,Ti
215.5384615,325.9615385,Ti,NA
218.3043478,133.6086957,Ti,Ti
221,302.2307692,Ti,Ti
221.173913,265.0434783,Fe,Fe
223.32,195.64,Ti,Ti
223.4090909,283.2272727,Fe,Fe
226.24,57.6,Ti,Ti
227,126,Ti,Ti
227.65,17.45,Fe,Fe
231.32,371.28,Ti,Ti
237,325,Ti,Fe
237,126,Ti,Fe
240.5,21.29166667,Ti,Ti
242,323,Fe,Fe
245,122,Ti,Ti
246.6956522,240.4782609,Fe,Fe
247.2608696,169.0434783,Fe,Fe
247.7391304,41.95652174,Fe,Fe
250.5769231,102,Ti,NA
251.0416667,295.0416667,Ti,Ti
252.5,223.25,Fe,Fe
253.4583333,370.25,Ti,Ti
255.32,202.76,Ti,Ti
257.9545455,264.3636364,Fe,Fe
260.5,89.07692308,Ti,Ti
261.72,403.84,Ti,Ti
264,363.5454545,Ti,Ti
265.5416667,143.4583333,Ti,Ti
265.9,191,Ti,Fe
270.8095238,353.7142857,Fe,Fe
277.9545455,164.5,Fe,Fe
279,33,Ti,Ti
279.3478261,143.1304348,Ti,Ti
280.5,380.7272727,Fe,Fe
286.7368421,204.7368421,Fe,NA
288,75,Fe,Fe
289,30,Ti,Ti
291.5,224.8846154,Ti,Ti
291.7826087,293.6086957,Fe,Fe
293,353,Ti,Ti
293.5909091,391,Fe,Fe
295.5,250.3,Fe,NA
296,348,Ti,Ti
296,72,Ti,Ti
297.7391304,159.826087,Fe,Fe
299,27,Fe,Fe
301.3888889,44,Fe,NA
