x,y,pred,truth
192,311,Fe,NA
195.6956522,318.2173913,Ti,Ti
207.1904762,359.4761905,Fe,Fe
208.9090909,328.4545455,Ti,Ti
216.2380952,340.1904762,Ti,Ti
223.3333333,126.1428571,Ti,NA
224.875,238.1875,Fe,Fe
225.2631579,276.1578947,Fe,Fe
238.9,223,Fe,Fe
239,146.4545455,Ti,Ti
242,283,Ti,Ti
246,278,Ti,Fe
246.2941176,358.3529412,Fe,Ti
249.95,314.95,Fe,Fe
250.2380952,397.3333333,Fe,Fe
253,190.4545455,Ti,Ti
254.6315789,202.1578947,Fe,Fe
260.5,374.5,Ti,Ti
263.3333333,344.2857143,Fe,Fe
265.5,317.25,Fe,Fe
267.6842105,243.3157895,Fe,Fe
268.45,328.7,Fe,Fe
271.3157895,221.8421053,Fe,Fe
277.9,140.95,Fe,Fe
279.826087,268.2608696,Ti,NA
279.9545455,303.9545455,Ti,Ti
281.3157895,213.7894737,Fe,Fe
281.9,169.5,Fe,Fe
283.9,401.9,Fe,Fe
286.55,330.45,Fe,Fe
288.1904762,383.2380952,Fe,Fe
289.2608696,422.6086957,Ti,Ti
293.6842105,299.3157895,Fe,Fe
295.6666667,313.6666667,Ti,Ti
295.6842105,225.1578947,Fe,Fe
297.1538462,259.1538462,Fe,NA
297.5,449.05,Ti,Ti
299,331,Fe,Fe
300.1304348,212.6086957,Ti,Ti
304,388,Ti,Fe
305.1363636,232.4545455,Ti,Ti
307,329,Fe,Fe
308.1904762,461.3333333,Fe,Fe
308.6666667,316.7142857,Ti,Ti
309,383,Ti,Ti
311.6666667,445.6666667,Ti,Ti
316.5,354.9545455,Ti,Ti
316.5,342.9545455,Ti,Ti
319.6842105,367.3684211,Fe,Fe
319.9,237.9,Fe,Fe
324.173913,326.7391304,Ti,Ti
329,403.55,Fe,Fe
331.9545455,455.8636364,Ti,Ti
333.7368421,467.5263158,Fe,Fe
334.85,202.05,Fe,Fe
335,426,Fe,Fe
337.5,225,Fe,Fe
339,419,Fe,Fe
341,179,Ti,NA
345.7826087,288.1304348,Ti,Ti
346,180,Ti,NA
348.2105263,487.7368421,Fe,Fe
349.7777778,190.5,Fe,NA
350.6842105,475.1578947,Fe,Fe
350.6842105,325.2105263,Fe,Fe
364,284.05,Fe,Fe
365.3333333,307.3333333,Ti,Ti
368.5,190.2083333,Ti,NA
370,271,Ti,Fe
373.7619048,427.6666667,Ti,Ti
376,290.4545455,Ti,Ti
376.2105263,307.8421053,Fe,Fe
377,272,Ti,Ti
379.9545455,457.1818182,Ti,Ti
380.1904762,389.3333333,Ti,Ti
381,245,Fe,Fe
381.2941176,340.3529412,Fe,NA
385,238,Fe,Fe
388.1428571,308.1904762,Fe,Fe
392.8571429,268.8095238,Fe,Fe
397.2173913,420.8695652,Ti,Ti
397.2380952,344.3333333,Fe,Fe
398.5,326.5,Fe,Fe
399.45,400,Fe,Fe
403.2173913,226.6956522,Ti,Ti
404.3157895,442.8421053,Fe,Fe
406.7391304,457.3043478,Ti,Ti
409.5,306.5454545,Ti,Ti
414,240.4545455,Ti,Ti
414.7894737,296.1578947,Fe,Fe
418.5454545,377.8636364,Ti,NA
418.95,360.3,Fe,Fe
420.0952381,388.2380952,Ti,Ti
425.9545455,433.8636364,Ti,Ti
426.45,458.6,Fe,Fe
427.5,473,Fe,NA
429.5,325.5454545,Ti,Ti
430.45,416.65,Fe,Fe
432.2857143,260.1904762,Fe,Fe
435,312.5,Ti,Ti
440.3636364,393.9545455,Ti,NA
441.6956522,357.1304348,Ti,NA
445.173913,295.6956522,Ti,Ti
446.1428571,279.2857143,Ti,Ti
450,438.8181818,Ti,NA
450.1764706,388.6470588,Fe,NA
459.6666667,427.8571429,Fe,NA
462,320,Ti,Ti
466,326,Ti,Fe
473.7647059,371.7058824,Fe,NA
474.3333333,345.1428571,Fe,Fe
477.5,294.4166667,Ti,NA
