x,y,pred,truth
24.625,283.4166667,Ti,Ti
40.86956522,219.2173913,Ti,Ti
44.04166667,268.9583333,Ti,Ti
52.54545455,206.9090909,Fe,Fe
53.23809524,278.6666667,Fe,Fe
58.82608696,352.173913,Ti,Ti
58.88461538,182.5,Ti,Ti
63.66666667,337.7142857,Fe,Fe
68.625,204.5,Ti,Ti
79.83333333,153.0416667,Ti,Ti
88.54545455,319,Fe,Fe
89,265,Fe,NA
89.73913043,302.2173913,Ti,Ti
94.04166667,363,Ti,Ti
94.70833333,281.5416667,Ti,Ti
102.7894737,267.2631579,Fe,Fe
103.55,256.45,Fe,Fe
105,375.5,Fe,NA
110.6956522,287.7391304,Fe,Fe
113.5,200.4583333,Ti,Ti
116.625,305.5833333,Ti,Ti
121.4583333,255.5416667,Ti,Ti
128.5,188.5416667,Ti,Ti
135.6521739,85.34782609,Fe,Fe
140.4545455,234.9090909,Fe,Fe
141.125,172.5416667,Ti,Ti
143.72,253.68,Ti,Ti
145.84,390.12,Ti,Ti
148.84,317.68,Ti,NA
150.9166667,80,Ti,Ti
152.2173913,156.8695652,Fe,Fe
152.6521739,235.2608696,Ti,Ti
154.5833333,267.4166667,Fe,NA
155.76,200.28,Ti,Ti
157.8636364,364.3181818,Fe,Fe
159.44,112.64,Ti,Ti
160.76,340.76,Ti,Ti
163.3333333,379.4166667,Ti,Ti
166.4090909,232.0454545,Fe,Fe
170.5,43.58333333,Ti,NA
177.4583333,203.375,Ti,Ti
181.9583333,166.0833333,Ti,Ti
184.4545455,241.0454545,Fe,Fe
184.5909091,185,Fe,Fe
191,198.4090909,Ti,Ti
191.5454545,229.0909091,Fe,Fe
195.875,84.08333333,Ti,Ti
200.173913,321.7826087,Fe,Fe
200.5416667,106,Ti,Ti
202.5416667,49.5,Fe,Fe
203.9047619,196.8095238,Fe,Fe
205.8181818,121.4090909,Fe,Fe
208.4,146.6666667,Fe,NA
213.45,99.45,Fe,Fe
219.7333333,163.6666667,Fe,NA
220.0833333,197.9583333,Ti,Ti
223.6111111,100.9444444,Fe,Fe
224,264,Ti,Ti
229,174,Ti,Ti
230.6086957,285.2608696,Fe,Fe
232.0416667,93.04166667,Ti,Ti
234.3043478,251.6086957,Fe,Ti
234.6956522,414.2608696,Fe,Fe
235,374,Ti,Ti
238.7391304,195.173913,Fe,Fe
239,366,Ti,Ti
239.32,38.8,Ti,NA
239.4545455,211.0909091,Fe,Fe
240.5909091,468,Fe,Fe
243.4545455,438.0454545,Fe,Fe
254.1,122.95,Fe,Fe
255,292.4545455,Fe,Fe
255.6666667,246.4583333,Ti,Ti
258,473.5,Fe,NA
259.3043478,395.6956522,Fe,Fe
264.2857143,113.1904762,Ti,Ti
265.0555556,124.3333333,Fe,Fe
266.6111111,182,Fe,NA
268.5,377,Fe,Fe
269.36,305.24,Ti,Ti
269.5909091,480.9090909,Fe,Fe
270.28,90.76,Ti,Ti
272,347.6,Fe,NA
273.5,442.4166667,Ti,Ti
278.2173913,139.7826087,Fe,Fe
279.3478261,159.2173913,Fe,Fe
281.7391304,351.2173913,Fe,Fe
286.8181818,450.4545455,Ti,Ti
290.3461538,304.8846154,Ti,Ti
291,321.0833333,Ti,Ti
295.32,143.84,Ti,Ti
296.1,165.05,Fe,Fe
296.35,455.45,Fe,Fe
296.4545455,484.0454545,Fe,Fe
300.3333333,431.1333333,Fe,Ti
301,392,Fe,Fe
302.7727273,469.5454545,Fe,Fe
304,385,Ti,Ti
305.85,371.05,Fe,Fe
306,163,Fe,Fe
307,168,Fe,Fe
309.2173913,308.6521739,Ti,Ti
310.0416667,222,Ti,Ti
310.05,181.9,Fe,Fe
312.7391304,324.173913,Ti,Ti
315.1428571,388.7142857,Fe,NA
315.5416667,140.5,Ti,Ti
317,342.875,Ti,Ti
318.5,173,Fe,Fe
318.7894737,400.7894737,Fe,Fe
321.6521739,411.7826087,Ti,Ti
326.3043478,229.2173913,Fe,Ti
326.826087,287.7826087,Ti,Ti
327.5833333,163.9166667,Ti,Ti
327.6956522,486.2608696,Ti,Ti
331,242,Ti,Fe
331.2857143,298.9047619,Ti,Ti
331.6666667,397.8095238,Fe,Fe
335.5454545,361,Fe,Fe
337.36,424.24,Ti,Ti
338,240,Ti,Ti
340.76,214.68,Ti,Ti
350.8095238,329.1904762,Ti,Ti
354.2608696,398.826087,Fe,Fe
358.5,179.5833333,Fe,Fe
359.6521739,337.7826087,Ti,Ti
360.9166667,475,Ti,Ti
363.0952381,299.3333333,Fe,Fe
363.625,215.625,Ti,Ti
365,375,Ti,Ti
366.8695652,229.8695652,Fe,Fe
367,385,Ti,Ti
368.7391304,447.2608696,Fe,Fe
372.2380952,293.6666667,Fe,Fe
381.1666667,200.0833333,Ti,Ti
381.9166667,475.0416667,Ti,Ti
382.5,268.5,Fe,Ti
386.3333333,459.3333333,Ti,Ti
386.6521739,231.7391304,Fe,Fe
388.3478261,182.2173913,Fe,Fe
391.5,412.5,Ti,Ti
395.5454545,285,Fe,Fe
402.3913043,299.7826087,Fe,Fe
408.5909091,187,Fe,Fe
409.9615385,268.4615385,Ti,NA
410.8636364,349.5909091,Fe,Fe
413.8181818,459.4090909,Fe,Fe
414.7391304,241.2173913,Fe,Fe
423,170.5,Ti,NA
426.0416667,310.0416667,Ti,Ti
435.1818182,259.3636364,Fe,Fe
442.6,227.76,Ti,Ti
444.1666667,318.875,Ti,Ti
445,276,Fe,Fe
453.6666667,192.5,Ti,Ti
454,278,Ti,Ti
461.9583333,255.9583333,Ti,Ti
463.3478261,213.2173913,Fe,Fe
477.6190476,219.3333333,Fe,Fe
483.6666667,231.3333333,Fe,Fe
495.0384615,210.5384615,Ti,NA
