x,y,pred,truth
68.38095238,331.2380952,Fe,Fe
76.81818182,313.3181818,Fe,Fe
98.4,365.1,Fe,Fe
100.8947368,374.7368421,Fe,NA
112.5,304.4545455,Fe,Fe
118.173913,260.173913,Ti,Ti
125.6086957,311.2173913,Ti,Ti
129.3478261,348.3478261,Fe,Fe
138,282.8846154,Ti,NA
141.7647059,380.6470588,Fe,NA
148.1304348,394.826087,Ti,Ti
156,200,Ti,Fe
161,207,Ti,Ti
163,244,Ti,NA
165.4166667,279,Ti,Ti
166,237,Ti,Fe
166.0434783,186.2608696,Ti,Ti
167.55,390,Fe,Fe
168.9583333,294.4583333,Ti,Ti
173,400,Ti,NA
174.7894737,223.0526316,Fe,NA
176.9166667,260.4583333,Ti,Ti
178,406,Ti,NA
187.1818182,203.7272727,Fe,NA
190.0869565,235.173913,Ti,Ti
192,371.8636364,Fe,Fe
192.88,180.08,Ti,Ti
198.6666667,197.6190476,Fe,Fe
204.0416667,303.375,Ti,Ti
207.6086957,207.2173913,Ti,NA
212.9444444,244.1111111,Fe,NA
215.3636364,351.4545455,Ti,Ti
218.1111111,293.9444444,Fe,NA
225.2608696,357.6086957,Ti,Ti
227,415,Ti,NA
233.5909091,374.5454545,Fe,Fe
236,99.09090909,Fe,Fe
237.5416667,452.9166667,Ti,Ti
239.4583333,291.9583333,Ti,Ti
244.9285714,211.0714286,Fe,NA
248.6956522,405.7826087,Ti,Ti
249.5,342.3636364,Ti,Ti
250.7692308,366.8461538,Fe,Ti
250.826087,433.4347826,Fe,Fe
251.7826087,85.69565217,Fe,Fe
252,304.5833333,Ti,Ti
255.6666667,332.1904762,Ti,Ti
258,153.2916667,Ti,Ti
259.826087,446.1304348,Ti,Ti
260.5,394.9166667,Ti,Ti
260.6956522,281.6956522,Ti,Ti
264.2272727,43.95454545,Fe,Fe
265.4090909,468.5454545,Fe,Fe
265.7142857,347.7142857,Fe,Fe
268.15,290.4,Fe,Fe
269.0909091,432.5,Fe,Fe
276.0454545,79.81818182,Fe,Fe
281.6666667,426.2857143,Ti,Ti
285.7826087,447.7391304,Fe,Fe
286.9583333,264.5416667,Ti,Ti
287.375,218.0416667,Ti,Ti
292.5,422.0454545,Ti,Ti
309.4166667,219,Ti,Ti
309.84,438.68,Ti,Ti
310.6956522,454.7391304,Ti,Ti
311,245,Ti,Fe
311.0454545,123,Fe,Fe
311.3043478,165.7826087,Ti,Ti
313.875,420.375,Ti,Ti
314,252,Ti,Ti
327.2608696,336.173913,Ti,Ti
327.45,309.95,Ti,Ti
327.76,74.2,Ti,NA
331.9545455,321.0909091,Ti,Ti
332.0625,247.4375,Fe,NA
341.6086957,383.7391304,Fe,Ti
345.9583333,484,Ti,Ti
346.826087,222.9130435,Ti,Fe
351.6666667,128.9583333,Ti,Ti
355.375,469.0416667,Ti,Ti
360.28,97.84,Ti,Ti
373.0416667,227.6666667,Ti,Ti
374,313.7083333,Ti,Ti
377.1818182,393.8181818,Fe,Ti
378.1,141.35,Fe,Fe
378.4166667,298,Ti,Ti
380,168,Ti,Fe
382.6666667,153.6666667,Fe,Ti
384,170,Ti,NA
388.5833333,260.875,Ti,Ti
390.1212121,123.1818182,Ti,Fe
392.2,221.64,Ti,Ti
393.625,144.125,Fe,Ti
394.16,405.84,Ti,Ti
397,449,Ti,Ti
400.4782609,277.173913,Fe,Fe
402,458,Ti,Ti
403.4583333,182,Ti,Ti
404.1428571,155.2857143,Fe,Fe
409.3333333,262.2380952,Fe,Fe
409.375,356.0416667,Ti,Ti
414.1,455.4,Fe,Fe
419,194.3333333,Ti,Ti
419.9090909,320.0909091,Fe,Fe
424.12,269.88,Ti,Ti
424.5,231.3636364,Ti,Ti
428.173913,337.6521739,Ti,NA
429.6363636,212.5909091,Fe,Fe
433.2380952,329.2857143,Ti,NA
443.5,276.1875,Fe,NA
447.8,305.28,Ti,NA
451,267,Fe,NA
451.0416667,333.4583333,Ti,NA
454,244,Ti,NA
459,352.1818182,Fe,Fe
459.3333333,230.6666667,Fe,NA
462.0833333,386.375,Ti,Ti
463.5555556,329.6111111,Fe,Fe
463.8571429,318.8095238,Fe,Fe
470.3333333,274.7333333,Fe,NA
471.5454545,202.5,Fe,Fe
476.9230769,297.8846154,Ti,NA
489,217.5,Ti,Ti
492.1363636,251.9090909,Fe,Fe
496.4545455,295.5454545,Fe,NA
