x,y,pred,truth
71,331,Ti,NA
77,334,Ti,NA
88.33333333,293.3333333,Fe,Fe
96.45454545,326.5454545,Fe,Fe
97.30434783,262.6956522,Ti,NA
101.5,352,Fe,NA
103.0454545,306.4090909,Ti,Ti
105.6190476,242.7619048,Fe,NA
107.45,274.5,Fe,Fe
108.5714286,291.6666667,Fe,Fe
120,317,Ti,NA
121,309,Fe,Fe
122.2380952,361.3333333,Fe,Fe
124.6470588,328.7647059,Fe,NA
131,251.5,Fe,Fe
139.8181818,281.9545455,Ti,Ti
141.6,246.05,Fe,Fe
142.4347826,170.7391304,Ti,Ti
145.3043478,341.7826087,Ti,Ti
155,164,Ti,Ti
157,173,Ti,Ti
159.6086957,223.2173913,Ti,Ti
161.952381,197.6666667,Fe,Fe
163,287,Fe,NA
164.7727273,387.0454545,Fe,NA
165,175,Ti,Ti
166,296,Ti,NA
166.6956522,143.0869565,Ti,Ti
169.1904762,362.3333333,Fe,Fe
173.2380952,256.1904762,Fe,Fe
174.7391304,195.173913,Ti,Ti
176.2173913,379.8695652,Ti,Ti
181,117.55,Fe,Fe
183.9545455,130.5,Ti,Ti
187.7142857,243.9047619,Fe,Fe
191.6956522,107.0869565,Ti,Ti
192.9047619,315.7619048,Fe,Fe
197.5454545,131.6363636,Ti,Ti
197.6190476,285.6666667,Fe,Fe
199.4545455,201,Ti,Ti
201,355,Ti,Ti
204.5,253.5,Ti,Ti
204.6956522,63.17391304,Ti,Ti
205.1578947,341.7368421,Fe,Fe
207,350,Ti,Fe
209.3333333,280.1904762,Ti,Ti
215.1578947,51.68421053,Fe,Fe
216.0909091,296,Ti,Ti
220.2857143,270.2380952,Ti,Ti
221.875,363.5,Ti,NA
223.1904762,67.23809524,Ti,Ti
225.5789474,343.3684211,Fe,Fe
226.95,76.95,Ti,Ti
228.5454545,176.6363636,Ti,Ti
229.2173913,209.9130435,Ti,Ti
231.6190476,335.8571429,Ti,Ti
234.0454545,88.45454545,Ti,Ti
234.9545455,246.4545455,Ti,Ti
235.2857143,285.3333333,Fe,Fe
239.2608696,436.7391304,Fe,Fe
241.0952381,124.2857143,Fe,Fe
245.6666667,253.8095238,Fe,Fe
247.2857143,379.3333333,Ti,Ti
253.4,77,Fe,NA
253.8571429,86.71428571,Ti,Ti
255.5,370,Ti,NA
257.7619048,442.8095238,Ti,NA
261.5,173.4545455,Ti,Ti
265.6666667,112.6666667,Ti,NA
268.1818182,307.0454545,Ti,Ti
274.3809524,253.1428571,Fe,Fe
274.7142857,267.7142857,Fe,Fe
274.8125,369,Ti,NA
275.3157895,108.8421053,Ti,Ti
278.5454545,345.4545455,Fe,Fe
279.8571429,128.6666667,Ti,Ti
280.5555556,117.9444444,Fe,Fe
281,196,Fe,Fe
281.8235294,99.82352941,Fe,Fe
286.9583333,387.4166667,Ti,NA
289,197,Ti,Ti
291.9,103.9,Fe,Fe
293.5,167.3636364,Ti,Ti
298.2105263,279.6842105,Fe,Fe
304.3809524,252.1428571,Ti,Ti
304.4545455,448.3636364,Ti,Ti
306.2857143,339.0952381,Fe,Fe
308.5,435,Fe,Fe
309.6190476,241.6666667,Fe,Fe
312.85,194.55,Fe,Fe
313.9130435,378.2173913,Ti,Ti
314.1428571,162.3333333,Fe,Fe
314.2105263,126.8421053,Fe,Fe
316.6,260.85,Fe,Fe
320.7368421,189.8421053,Fe,Fe
322.0952381,133.2857143,Ti,Ti
323.1904762,311.3809524,Fe,Fe
324.5,254.5,Ti,Ti
327.5555556,182.5,Fe,Fe
328.3,298.45,Fe,Fe
331,172.55,Fe,Fe
332.6666667,204.6666667,Fe,Fe
333.1428571,429.2857143,Fe,Fe
337.8421053,299.3157895,Fe,Fe
342.2857143,170.2380952,Fe,Fe
343.7142857,213.6666667,Fe,Fe
347.8695652,399.3478261,Ti,Ti
347.9090909,239,Ti,Ti
348.1428571,183.3333333,Fe,Fe
351.5652174,302.2173913,Ti,Ti
357.1,233.55,Fe,Fe
357.1428571,332.3333333,Fe,NA
359.95,344.1,Fe,Fe
371.9583333,326.5416667,Ti,NA
376.8181818,280.3181818,Fe,Ti
388,216,Ti,Ti
392,210,Ti,Ti
399.7391304,204.3913043,Ti,NA
400.3333333,245.3333333,Ti,Ti
402.8421053,255.2631579,Fe,Fe
405,291.45,Fe,NA
405.4,271.55,Fe,NA
410,282,Fe,Fe
415.1,293.6,Fe,NA
417,278,Fe,NA
422.6190476,270.7142857,Ti,Ti
428.8636364,249,Ti,Ti
436.45,200.55,Fe,Fe
