x,y,pred,truth
68.38095238,331.2380952,Fe,Fe
76.81818182,313.3181818,Fe,Fe
98.4,365.1,Fe,Fe
100.8947368,374.7368421,Fe,D
112.5,304.4545455,Fe,Fe
129.3478261,348.3478261,Fe,Fe
141.7647059,380.6470588,D,D
167.55,390,Fe,Fe
174.7894737,223.0526316,D,D
187.1818182,203.7272727,D,D
192,371.8636364,Fe,Fe
198.6666667,197.6190476,Fe,Fe
212.9444444,244.1111111,D,D
218.1111111,293.9444444,D,D
233.5909091,374.5454545,Fe,Fe
236,99.09090909,Fe,Fe
244.9285714,211.0714286,D,D
250.7692308,366.8461538,D,D
250.826087,433.4347826,Fe,Fe
251.7826087,85.69565217,Fe,Fe
264.2272727,43.95454545,Fe,Fe
265.4090909,468.5454545,Fe,Fe
265.7142857,347.7142857,Fe,Fe
268.15,290.4,Fe,Fe
269.0909091,432.5,Fe,Fe
276.0454545,79.81818182,Fe,Fe
285.7826087,447.7391304,Fe,Fe
311.0454545,123,Fe,Fe
332.0625,247.4375,D,D
341.6086957,383.7391304,Fe,D
377.1818182,393.8181818,D,D
378.1,141.35,Fe,Fe
382.6666667,153.6666667,Fe,D
393.625,144.125,Fe,D
400.4782609,277.173913,Fe,Fe
404.1428571,155.2857143,Fe,Fe
409.3333333,262.2380952,Fe,Fe
414.1,455.4,Fe,Fe
419.9090909,320.0909091,Fe,Fe
429.6363636,212.5909091,Fe,Fe
443.5,276.1875,D,D
451,267,D,D
459,352.1818182,Fe,Fe
459.3333333,230.6666667,Fe,D
463.5555556,329.6111111,Fe,Fe
463.8571429,318.8095238,Fe,Fe
470.3333333,274.7333333,D,D
471.5454545,202.5,Fe,Fe
492.1363636,251.9090909,Fe,Fe
496.4545455,295.5454545,Fe,D
