x,y,pred,truth
52.54545455,206.9090909,Fe,Fe
53.23809524,278.6666667,Fe,Fe
63.66666667,337.7142857,Fe,Fe
88.54545455,319,Fe,Fe
89,265,D,D
102.7894737,267.2631579,Fe,Fe
103.55,256.45,Fe,Fe
105,375.5,D,D
110.6956522,287.7391304,Fe,Fe
135.6521739,85.34782609,Fe,Fe
140.4545455,234.9090909,Fe,Fe
152.2173913,156.8695652,Fe,Fe
154.5833333,267.4166667,Fe,D
157.8636364,364.3181818,Fe,Fe
166.4090909,232.0454545,Fe,Fe
184.4545455,241.0454545,Fe,Fe
184.5909091,185,Fe,Fe
191.5454545,229.0909091,Fe,Fe
200.173913,321.7826087,Fe,Fe
202.5416667,49.5,Fe,Fe
203.9047619,196.8095238,Fe,Fe
205.8181818,121.4090909,Fe,Fe
208.4,146.6666667,D,D
213.45,99.45,Fe,Fe
219.7333333,163.6666667,D,D
223.6111111,100.9444444,Fe,Fe
230.6086957,285.2608696,Fe,Fe
234.3043478,251.6086957,Fe,D
234.6956522,414.2608696,Fe,Fe
238.7391304,195.173913,Fe,Fe
239.4545455,211.0909091,Fe,Fe
240.5909091,468,Fe,Fe
243.4545455,438.0454545,Fe,Fe
254.1,122.95,Fe,Fe
255,292.4545455,Fe,Fe
258,473.5,D,D
259.3043478,395.6956522,Fe,Fe
265.0555556,124.3333333,Fe,Fe
266.6111111,182,D,D
268.5,377,Fe,Fe
269.5909091,480.9090909,Fe,Fe
272,347.6,D,D
278.2173913,139.7826087,Fe,Fe
279.3478261,159.2173913,Fe,Fe
281.7391304,351.2173913,Fe,Fe
296.1,165.05,Fe,Fe
296.35,455.45,Fe,Fe
296.4545455,484.0454545,Fe,Fe
300.3333333,431.1333333,D,D
301,392,Fe,Fe
302.7727273,469.5454545,Fe,Fe
305.85,371.05,Fe,Fe
306,163,Fe,Fe
307,168,Fe,Fe
310.05,181.9,Fe,Fe
315.1428571,388.7142857,Fe,D
318.5,173,D,Fe
318.7894737,400.7894737,D,Fe
326.3043478,229.2173913,Fe,D
331.6666667,397.8095238,Fe,Fe
335.5454545,361,Fe,Fe
354.2608696,398.826087,Fe,Fe
358.5,179.5833333,Fe,Fe
363.0952381,299.3333333,Fe,Fe
366.8695652,229.8695652,Fe,Fe
368.7391304,447.2608696,Fe,Fe
372.2380952,293.6666667,Fe,Fe
382.5,268.5,D,D
386.6521739,231.7391304,Fe,Fe
388.3478261,182.2173913,Fe,Fe
395.5454545,285,Fe,Fe
402.3913043,299.7826087,Fe,Fe
408.5909091,187,Fe,Fe
410.8636364,349.5909091,Fe,Fe
413.8181818,459.4090909,Fe,Fe
414.7391304,241.2173913,Fe,Fe
435.1818182,259.3636364,Fe,Fe
445,276,Fe,Fe
463.3478261,213.2173913,Fe,Fe
477.6190476,219.3333333,Fe,Fe
483.6666667,231.3333333,Fe,Fe
