x,y,pred,truth
88.33333333,293.3333333,Fe,Fe
96.45454545,326.5454545,Fe,Fe
101.5,352,Fe,D
105.6190476,242.7619048,Fe,D
107.45,274.5,Fe,Fe
108.5714286,291.6666667,Fe,Fe
121,309,Fe,Fe
122.2380952,361.3333333,Fe,Fe
124.6470588,328.7647059,D,D
131,251.5,Fe,Fe
141.6,246.05,Fe,Fe
161.952381,197.6666667,Fe,Fe
163,287,Fe,D
164.7727273,387.0454545,Fe,D
169.1904762,362.3333333,Fe,Fe
173.2380952,256.1904762,Fe,Fe
181,117.55,Fe,Fe
187.7142857,243.9047619,Fe,Fe
192.9047619,315.7619048,Fe,Fe
197.6190476,285.6666667,Fe,Fe
205.1578947,341.7368421,Fe,Fe
215.1578947,51.68421053,Fe,Fe
225.5789474,343.3684211,Fe,Fe
235.2857143,285.3333333,Fe,Fe
239.2608696,436.7391304,Fe,Fe
241.0952381,124.2857143,Fe,Fe
245.6666667,253.8095238,Fe,Fe
253.4,77,D,D
274.3809524,253.1428571,Fe,Fe
274.7142857,267.7142857,Fe,Fe
278.5454545,345.4545455,Fe,Fe
280.5555556,117.9444444,Fe,Fe
281,196,Fe,Fe
281.8235294,99.82352941,Fe,Fe
291.9,103.9,Fe,Fe
298.2105263,279.6842105,Fe,Fe
306.2857143,339.0952381,Fe,Fe
308.5,435,Fe,Fe
309.6190476,241.6666667,Fe,Fe
312.85,194.55,Fe,Fe
314.1428571,162.3333333,Fe,Fe
314.2105263,126.8421053,Fe,Fe
316.6,260.85,Fe,Fe
320.7368421,189.8421053,Fe,Fe
323.1904762,311.3809524,Fe,Fe
327.5555556,182.5,Fe,Fe
328.3,298.45,Fe,Fe
331,172.55,Fe,Fe
332.6666667,204.6666667,Fe,Fe
333.1428571,429.2857143,Fe,Fe
337.8421053,299.3157895,Fe,Fe
342.2857143,170.2380952,Fe,Fe
343.7142857,213.6666667,Fe,Fe
348.1428571,183.3333333,Fe,Fe
357.1,233.55,Fe,Fe
357.1428571,332.3333333,Fe,D
359.95,344.1,Fe,Fe
376.8181818,280.3181818,Fe,D
402.8421053,255.2631579,Fe,Fe
405,291.45,Fe,D
405.4,271.55,Fe,D
410,282,Fe,Fe
415.1,293.6,D,D
417,278,Fe,D
436.45,200.55,Fe,Fe
