x,y,pred,truth
192,311,D,D
207.1904762,359.4761905,D,Fe
224.875,238.1875,D,Fe
225.2631579,276.1578947,D,Fe
238.9,223,Fe,Fe
246.2941176,358.3529412,D,D
249.95,314.95,Fe,Fe
250.2380952,397.3333333,D,Fe
254.6315789,202.1578947,Fe,Fe
263.3333333,344.2857143,Fe,Fe
265.5,317.25,Fe,Fe
267.6842105,243.3157895,Fe,Fe
268.45,328.7,Fe,Fe
271.3157895,221.8421053,Fe,Fe
277.9,140.95,Fe,Fe
281.3157895,213.7894737,Fe,Fe
281.9,169.5,Fe,Fe
283.9,401.9,Fe,Fe
286.55,330.45,Fe,Fe
288.1904762,383.2380952,Fe,Fe
293.6842105,299.3157895,Fe,Fe
295.6842105,225.1578947,Fe,Fe
297.1538462,259.1538462,D,D
299,331,D,Fe
307,329,D,Fe
308.1904762,461.3333333,Fe,Fe
319.6842105,367.3684211,Fe,Fe
319.9,237.9,Fe,Fe
329,403.55,Fe,Fe
333.7368421,467.5263158,Fe,Fe
334.85,202.05,Fe,Fe
335,426,D,Fe
337.5,225,Fe,Fe
339,419,D,Fe
348.2105263,487.7368421,Fe,Fe
349.7777778,190.5,D,D
350.6842105,475.1578947,Fe,Fe
350.6842105,325.2105263,Fe,Fe
364,284.05,Fe,Fe
376.2105263,307.8421053,D,Fe
381,245,D,Fe
381.2941176,340.3529412,D,D
385,238,D,Fe
388.1428571,308.1904762,Fe,Fe
392.8571429,268.8095238,Fe,Fe
397.2380952,344.3333333,Fe,Fe
398.5,326.5,Fe,Fe
399.45,400,Fe,Fe
404.3157895,442.8421053,Fe,Fe
414.7894737,296.1578947,Fe,Fe
418.95,360.3,Fe,Fe
426.45,458.6,Fe,Fe
427.5,473,D,D
430.45,416.65,Fe,Fe
432.2857143,260.1904762,Fe,Fe
450.1764706,388.6470588,D,D
459.6666667,427.8571429,D,D
473.7647059,371.7058824,D,D
474.3333333,345.1428571,Fe,Fe
