x,y,pred,truth
47.95833333,340.0416667,Fe,Fe
136.76,202.2,Fe,Fe
144.92,222.16,Fe,Fe
155.9583333,252.8333333,Fe,Fe
160.5,130.5416667,Fe,Fe
176.6666667,247.5833333,Fe,Fe
177.24,280.72,Fe,Fe
191.2,152.72,Fe,Fe
200.0416667,424.9166667,Fe,Fe
201.95,56,Fe,D
214.3478261,297.3913043,Fe,Fe
222,270,Fe,D
224.9166667,107.9583333,Fe,Fe
227.4166667,213.5833333,Fe,Fe
233.2083333,333,Fe,Fe
243.5833333,454.5833333,Fe,Fe
249.5833333,292.5833333,Fe,Fe
251.5833333,332.4166667,Fe,Fe
253.3913043,137.7826087,Fe,Fe
254.5714286,267.1904762,Fe,D
257.6842105,429.6315789,Fe,D
258.32,392.76,Fe,Fe
259.3846154,45.30769231,D,D
266.9166667,131,Fe,Fe
271,479,D,D
274.76,447.24,Fe,Fe
276.5,282.5833333,Fe,Fe
285.1875,393.875,D,D
288.0416667,129.9166667,Fe,Fe
290.5909091,359.0454545,Fe,D
304.826087,279.7391304,Fe,Fe
312.8333333,328.9583333,Fe,Fe
313.5416667,79.33333333,Fe,Fe
321.8,195.16,Fe,Fe
325.72,117.08,Fe,Fe
326.7083333,325.4583333,Fe,Fe
334.2380952,373.1428571,Fe,D
344.8,387.16,Fe,Fe
363,199.9583333,Fe,Fe
372.0416667,285.7916667,Fe,Fe
390.0416667,347,Fe,Fe
390.6956522,163.6956522,Fe,Fe
399.9583333,373.9166667,Fe,Fe
412,331,Fe,Fe
422.25,156.3333333,Fe,Fe
443.0833333,232,Fe,Fe
455.3478261,345.6521739,Fe,D
460.5,367.0416667,Fe,D
496,347,Fe,Fe
