x,y,pred,truth
18,254,D,D
28,252,D,D
66.08333333,210,Ti,Ti
66.25806452,278.8387097,D,D
73,247.9166667,Ti,Ti
84.17391304,252.1304348,Ti,Ti
85.30434783,193.6086957,Ti,Ti
107,114.3461538,D,Ti
108.5384615,239.8846154,D,Ti
115.84,305.4,Ti,Ti
120.3043478,115.4347826,Ti,Ti
124,227,D,D
124,148,D,D
126,148,D,Ti
128.24,270.92,Ti,Ti
130.875,310,Ti,Ti
138.4583333,46.16666667,Ti,D
141.6956522,58.60869565,D,D
142.8,123.2,Ti,Ti
145.2608696,67.60869565,D,D
145.36,327.8,Ti,Ti
145.4583333,179.5833333,Ti,Ti
158,190,D,Ti
158,87,D,D
163.7391304,156.826087,Ti,Ti
164,183,D,Ti
164,92,D,D
166.5,232.8846154,Ti,Ti
168.4615385,250.9615385,Ti,Ti
168.875,200.75,Ti,Ti
178.5,68.66666667,Ti,Ti
180.88,269.12,Ti,Ti
183,313,D,Ti
191,99,D,D
191.24,55.12,Ti,Ti
194.0833333,78.125,Ti,Ti
195.68,280.24,Ti,Ti
210,143.3461538,Ti,Ti
210,240,Ti,Ti
211.875,281.7916667,Ti,Ti
212,84,D,Ti
215,77,D,Ti
215.5384615,325.9615385,Ti,D
218.3043478,133.6086957,Ti,Ti
221,302.2307692,D,Ti
223.32,195.64,Ti,Ti
226.24,57.6,Ti,Ti
227,126,D,Ti
231.32,371.28,Ti,Ti
237,325,D,D
237,126,D,D
240.5,21.29166667,Ti,Ti
245,122,D,Ti
250.5769231,102,D,D
251.0416667,295.0416667,Ti,Ti
253.4583333,370.25,Ti,Ti
255.32,202.76,Ti,Ti
260.5,89.07692308,Ti,Ti
261.72,403.84,Ti,Ti
264,363.5454545,Ti,Ti
265.5416667,143.4583333,Ti,Ti
265.9,191,D,D
279,33,D,Ti
279.3478261,143.1304348,Ti,Ti
289,30,D,Ti
291.5,224.8846154,Ti,Ti
293,353,D,Ti
296,348,D,Ti
296,72,D,Ti
301.76,85.04,Ti,Ti
303,375,D,D
304.5,433.4583333,Ti,Ti
306,380,D,Ti
307.826087,404.6086957,D,Ti
311,279,D,Ti
313,185,D,Ti
313.5769231,138.6923077,D,D
318,272,D,D
320,440.1666667,Ti,Ti
320.68,333.16,Ti,Ti
320.6956522,454.7826087,Ti,D
321.5769231,111.8846154,Ti,Ti
323,180,Ti,Ti
330.7391304,191.8695652,Ti,Ti
335.5769231,379.9230769,Ti,Ti
354.6153846,383.3846154,D,D
361.5,282.2916667,Ti,Ti
364.68,263.2,Ti,Ti
370.72,140.04,Ti,Ti
373.8,78.32,Ti,Ti
378.32,311.6,Ti,Ti
378.5416667,240.2916667,D,Ti
380.5384615,207.8846154,D,D
385.2,112.72,D,D
387,186,D,Ti
392,180,D,Ti
397.0416667,86.125,Ti,Ti
398.5,161.25,Ti,Ti
407.8846154,308.4230769,Ti,D
409,225,D,Ti
410.5833333,133.2916667,Ti,Ti
418.28,272.92,Ti,Ti
422.7391304,135.9565217,Ti,D
423.64,183.12,Ti,Ti
423.6521739,123.5652174,D,D
439,245.7916667,Ti,Ti
448.5416667,141.3333333,Ti,Ti
448.72,103.12,Ti,D
450.64,198.08,Ti,Ti
454.8,75.08,Ti,D
462.4615385,133.0769231,Ti,Ti
471.4583333,174.5416667,Ti,Ti
478,223,D,Ti
482.2592593,128.2222222,D,Ti
