x,y,pred,truth
66.4,326.72,Ti,Ti
72.68,312.28,Ti,Ti
126.8,292.36,Ti,Ti
127.5833333,171.4583333,Ti,D
148.3846154,290.8461538,Ti,Ti
155.5384615,274.7692308,Ti,Ti
163.4615385,300.0769231,Ti,Ti
172.1538462,338.3461538,Ti,Ti
181.8846154,88.46153846,Ti,Ti
188.7037037,259.5925926,Ti,Ti
189.4583333,343.4166667,Ti,Ti
194.7777778,114.7777778,D,D
200.5416667,340.5416667,Ti,Ti
201.3461538,291.0384615,Ti,Ti
201.4,400.68,Ti,Ti
203.5384615,96.15384615,Ti,Ti
204.5769231,233.8461538,Ti,Ti
204.84,27.16,Ti,Ti
216,85.95833333,Ti,Ti
225.5,190.4230769,Ti,Ti
228,265,D,D
231.1851852,22.18518519,Ti,Ti
236,268,D,D
243.4074074,204.3333333,Ti,Ti
246,238.5,Ti,Ti
265.7407407,206.2592593,D,D
280.6153846,72.07692308,Ti,D
288.8888889,149.2222222,D,D
291.3043478,370.826087,Ti,D
294.5769231,116.8846154,D,D
300.0384615,78.53846154,Ti,Ti
301.0384615,435.5,Ti,Ti
304.6538462,262.9230769,Ti,Ti
312,475,D,D
315.5384615,168.8846154,Ti,Ti
320,473,D,D
336.16,406.68,Ti,Ti
339.5384615,154,Ti,Ti
342.3478261,417.1304348,Ti,Ti
344,116,D,D
349,110,D,D
356.3043478,274.826087,Ti,D
359.0384615,246.3846154,D,D
364.125,267,D,D
371.1153846,431.4615385,Ti,Ti
388,227,D,D
395,229,D,D
395.88,287.16,Ti,Ti
401.44,168.68,Ti,Ti
402.9615385,261.4615385,D,D
403,227,D,D
419.875,391,D,D
423.16,223.72,Ti,Ti
427.76,383.12,D,D
441.9230769,327.3846154,Ti,D
452.0909091,357.5454545,Ti,D
460.9615385,253.4615385,Ti,Ti
473.5,275.8461538,Ti,Ti
480.5384615,345.4230769,Ti,Ti
491.5,361,Ti,Ti
