x,y,pred,truth
24.625,283.4166667,Ti,Ti
40.86956522,219.2173913,Ti,Ti
44.04166667,268.9583333,Ti,Ti
58.82608696,352.173913,Ti,Ti
58.88461538,182.5,D,Ti
68.625,204.5,Ti,Ti
79.83333333,153.0416667,Ti,Ti
89.73913043,302.2173913,Ti,Ti
94.04166667,363,Ti,Ti
94.70833333,281.5416667,Ti,Ti
113.5,200.4583333,Ti,Ti
116.625,305.5833333,Ti,Ti
121.4583333,255.5416667,Ti,Ti
128.5,188.5416667,Ti,Ti
141.125,172.5416667,Ti,Ti
143.72,253.68,Ti,Ti
145.84,390.12,D,Ti
148.84,317.68,Ti,D
150.9166667,80,Ti,Ti
152.6521739,235.2608696,Ti,Ti
155.76,200.28,Ti,Ti
159.44,112.64,D,Ti
160.76,340.76,Ti,Ti
163.3333333,379.4166667,Ti,Ti
170.5,43.58333333,Ti,D
177.4583333,203.375,Ti,Ti
181.9583333,166.0833333,Ti,Ti
191,198.4090909,Ti,Ti
195.875,84.08333333,Ti,Ti
200.5416667,106,Ti,Ti
220.0833333,197.9583333,Ti,Ti
224,264,D,Ti
229,174,D,Ti
232.0416667,93.04166667,Ti,Ti
235,374,D,Ti
239,366,D,Ti
239.32,38.8,Ti,D
255.6666667,246.4583333,Ti,Ti
264.2857143,113.1904762,D,Ti
269.36,305.24,Ti,Ti
270.28,90.76,Ti,Ti
273.5,442.4166667,Ti,Ti
286.8181818,450.4545455,Ti,Ti
290.3461538,304.8846154,D,Ti
291,321.0833333,Ti,Ti
295.32,143.84,Ti,Ti
304,385,D,Ti
309.2173913,308.6521739,Ti,Ti
310.0416667,222,Ti,Ti
312.7391304,324.173913,Ti,Ti
315.5416667,140.5,Ti,Ti
317,342.875,Ti,Ti
321.6521739,411.7826087,Ti,Ti
326.826087,287.7826087,Ti,Ti
327.5833333,163.9166667,Ti,Ti
327.6956522,486.2608696,Ti,Ti
331,242,D,D
331.2857143,298.9047619,Ti,Ti
337.36,424.24,D,Ti
338,240,D,Ti
340.76,214.68,D,Ti
350.8095238,329.1904762,D,Ti
359.6521739,337.7826087,D,Ti
360.9166667,475,Ti,Ti
363.625,215.625,Ti,Ti
365,375,D,Ti
367,385,D,Ti
381.1666667,200.0833333,Ti,Ti
381.9166667,475.0416667,Ti,Ti
386.3333333,459.3333333,Ti,Ti
391.5,412.5,Ti,Ti
409.9615385,268.4615385,D,D
423,170.5,Ti,D
426.0416667,310.0416667,Ti,Ti
442.6,227.76,Ti,Ti
444.1666667,318.875,Ti,Ti
453.6666667,192.5,Ti,Ti
454,278,D,Ti
461.9583333,255.9583333,Ti,Ti
495.0384615,210.5384615,D,D
