x,y,pred,truth
195.6956522,318.2173913,D,Ti
208.9090909,328.4545455,Ti,Ti
216.2380952,340.1904762,Ti,Ti
223.3333333,126.1428571,Ti,D
239,146.4545455,Ti,Ti
242,283,D,Ti
246,278,D,D
253,190.4545455,Ti,Ti
260.5,374.5,Ti,Ti
279.826087,268.2608696,D,D
279.9545455,303.9545455,Ti,Ti
289.2608696,422.6086957,Ti,Ti
295.6666667,313.6666667,Ti,Ti
297.5,449.05,Ti,Ti
300.1304348,212.6086957,Ti,Ti
304,388,D,D
305.1363636,232.4545455,Ti,Ti
308.6666667,316.7142857,Ti,Ti
309,383,D,Ti
311.6666667,445.6666667,Ti,Ti
316.5,354.9545455,Ti,Ti
316.5,342.9545455,Ti,Ti
324.173913,326.7391304,Ti,Ti
331.9545455,455.8636364,Ti,Ti
341,179,D,D
345.7826087,288.1304348,Ti,Ti
346,180,D,D
365.3333333,307.3333333,Ti,Ti
368.5,190.2083333,D,D
370,271,D,D
373.7619048,427.6666667,Ti,Ti
376,290.4545455,D,Ti
377,272,D,Ti
379.9545455,457.1818182,Ti,Ti
380.1904762,389.3333333,Ti,Ti
397.2173913,420.8695652,Ti,Ti
403.2173913,226.6956522,Ti,Ti
406.7391304,457.3043478,Ti,Ti
409.5,306.5454545,Ti,Ti
414,240.4545455,Ti,Ti
418.5454545,377.8636364,D,D
420.0952381,388.2380952,Ti,Ti
425.9545455,433.8636364,Ti,Ti
429.5,325.5454545,Ti,Ti
435,312.5,Ti,Ti
440.3636364,393.9545455,D,D
441.6956522,357.1304348,D,D
445.173913,295.6956522,D,Ti
446.1428571,279.2857143,Ti,Ti
450,438.8181818,D,D
462,320,D,Ti
466,326,D,D
477.5,294.4166667,D,D
